job_title_clean,salary_target,experience_years_clean,location_clean,work_mode_clean,level_clean,job_title_standardized
.net developer,6000.0,0.2,Mansoura,On-Site,Unknown,back end engineer
react developer,15000.0,1.0,Greater Cairo,Remote,Unknown,front end engineer
full stack developer,5000.0,2.0,Greater Cairo,Remote,Unknown,full stack engineer
.net developer,9000.0,1.0,Benha,Hybrid,Unknown,back end engineer
data analyst,6000.0,1.0,Banha,On-Site,Unknown,data/ai engineer
bi developer,8850.0,1.0,6 October,On-Site,Unknown,data/ai engineer
full stack developer (mern),20000.0,2.0,India,Remote,Unknown,full stack engineer
full stack developer,21000.0,3.0,Greater Cairo,Hybrid,Unknown,full stack engineer
backend .netasp,12000.0,1.0,Greater Cairo,On-Site,Unknown,back end engineer
data engineer,18000.0,1.0,Greater Cairo,Hybrid,Unknown,data/ai engineer
android developer,9000.0,1.5,Greater Cairo,Remote,Unknown,mobile engineer
php,8000.0,0.0,Unknown,On-Site,Unknown,back end engineer
data analyst,4500.0,3.0,Greater Cairo,On-Site,Unknown,data/ai engineer
ios developer,12000.0,1.0,Greater Cairo,Hybrid,Unknown,mobile engineer
.net developer,8000.0,1.0,Mansoura,On-Site,Unknown,back end engineer
data scientist,25000.0,0.0,Unknown,On-Site,Unknown,data/ai engineer
asp .net and angular software engineer,12000.0,2.0,Greater Cairo,On-Site,Unknown,front end engineer
iot embedded software engineer engineer,9000.0,2.0,Greater Cairo,On-Site,Unknown,embedded engineer
business intelligence engineer,27500.0,2.0,Greater Cairo,Hybrid,Unknown,data/ai engineer
frontend developer,65000.0,7.0,Smart Villages,On-Site,Unknown,front end engineer
php developer,7000.0,1.0,Tanta,Hybrid,Unknown,back end engineer
.net developer,10000.0,0.0,Dubai,Remote,Unknown,back end engineer
data scientist,16000.0,1.0,Greater Cairo,Hybrid,Unknown,data/ai engineer
full stack .net | angular | mssql,6000.0,0.0,Unknown,Remote,Unknown,front end engineer
.net developer,15000.0,3.0,Unknown,Remote,Unknown,back end engineer
backend developer,10000.0,0.0,Greater Cairo,On-Site,Unknown,back end engineer
.net developer,12000.0,3.0,Unknown,Remote,Unknown,back end engineer
android,22000.0,4.0,Unknown,Hybrid,Unknown,mobile engineer
flutter developer,10000.0,3.0,Greater Cairo,Hybrid,Unknown,mobile engineer
test engineer,34000.0,3.0,Unknown,Hybrid,Unknown,software testing engineer
software tester,5000.0,1.0,Greater Cairo,On-Site,Unknown,software testing engineer
backend .net developer,32000.0,3.0,Greater Cairo,On-Site,Unknown,back end engineer
android developer,15000.0,1.5,Greater Cairo,Hybrid,Unknown,mobile engineer
laravel developer,8000.0,0.3,Greater Cairo,Remote,Unknown,back end engineer
oracle developer,12000.0,1.0,Greater Cairo,On-Site,Unknown,back end engineer
java developer,8000.0,0.3,Greater Cairo,On-Site,Unknown,back end engineer
